Query,Standard Deviation,Average Response Time (µs)
1,127.47573284743714,292.600094
2,154.05957812362203,285.50630099999995
3,157.0623846217322,314.380416
4,281.2189582593653,392.95068799999996
5,247.4747039954532,300.690447
6,231.52260020445905,288.91368500000004
7,82.40560564837214,261.003676
8,184.6590075219942,301.81642200000005
9,1991.7892912717675,350.47437
