Query,Standard Deviation,Average Response Time (µs)
1,402.23547322348355,331.366035
2,169.95029363655368,312.24992799999995
3,233.31351509682503,366.300051
4,329.591875374164,452.52725599999997
5,300.06714828459496,353.64483900000005
6,174.36234691678897,309.382323
7,132.32954719167586,285.506695
8,204.90454222913203,332.64756200000005
9,148.26888197581013,301.754341
