Query,Standard Deviation,Average Response Time (µs)
1,161.23680855245206,295.642618
2,154.10903630739756,277.48358499999995
3,123.73304903161302,293.474107
4,158.86918282900783,316.172222
5,200.72416739875126,300.323783
6,179.06759992347313,278.365342
7,7595.333327243568,506.4929269999999
8,1802.5829117829985,325.24795000000006
9,3142.0966376953997,369.42471599999993
