Query,Standard Deviation,Average Response Time (µs)
1,267.7901676515501,399.899959
2,124.32932909448112,334.646797
3,3490.4504452729707,487.972537
4,336.5480324742034,439.679289
5,121.86244658983505,348.28806000000003
6,181.84051756455935,332.657928
7,14795.1125405437,930.0488959999999
8,120.65326748074898,345.270529
9,142.12063447402505,328.158581
