Query,Standard Deviation,Average Response Time (µs)
1,65.98208101621621,216.423809
2,38.02848519875616,205.712772
3,185.66691282315938,249.991323
4,109.86321573402334,289.650538
5,39.95672516565045,216.08052600000002
6,101.29028358109694,203.487781
7,52.96836905436844,206.85766800000002
8,28.80196040517449,199.918319
9,36.95065054650853,214.143947
