Query,Standard Deviation,Average Response Time (µs)
1,728.6236412256875,271.384216
2,1066.9482048604573,289.34006400000004
3,1108.2949110774705,273.37021799999997
4,2177.317746115929,277.29458600000004
5,1215.187305371278,298.383241
6,10016.371890936229,597.7121629999999
