Query,Standard Deviation,Average Response Time (µs)
1,1558.9807232839846,472.05088800000004
2,1864.2832553836877,865.9103459999999
3,2068.5281635711863,409.957507
4,2010.2515915397612,895.9676610000001
5,2124.122203203684,523.095555
6,22053.81509926901,1423.316437
