Query,Standard Deviation,Average Response Time (µs)
1,941.1935523357636,333.11903500000005
2,1131.8055761601233,326.41626
3,1263.065759059513,340.561435
4,2405.2203482399773,334.62637199999995
5,1168.4160470174743,325.162559
6,8261.383876276068,604.8055229999999
